docker stats:
6.24% 11.1kB / 10.2kB
7.12% 17.2kB / 15.5kB
0.00% 21.4kB / 19.5kB
0.00% 21.5kB / 19.5kB
0.00% 21.5kB / 19.5kB
0.00% 21.5kB / 19.5kB
0.00% 21.7kB / 19.5kB
0.00% 21.8kB / 19.7kB
0.00% 22kB / 19.8kB
0.00% 22kB / 19.8kB
0.00% 22kB / 19.8kB
0.00% 22kB / 19.8kB
0.00% 22.2kB / 19.9kB
0.00% 22.4kB / 20.1kB
0.00% 22.5kB / 20.2kB
0.00% 22.5kB / 20.2kB
0.00% 22.5kB / 20.2kB
0.00% 22.5kB / 20.2kB
0.00% 22.7kB / 20.3kB
0.00% 22.8kB / 20.4kB
0.00% 22.9kB / 20.6kB
0.00% 22.9kB / 20.6kB
0.00% 22.9kB / 20.6kB
0.00% 22.9kB / 20.6kB
0.00% 23.1kB / 20.7kB
0.00% 23.4kB / 20.9kB
0.00% 23.4kB / 20.9kB
0.00% 23.4kB / 20.9kB
0.00% 23.4kB / 20.9kB
0.00% 23.4kB / 20.9kB
0.00% 23.6kB / 21.1kB
0.00% 23.8kB / 21.3kB
0.00% 23.8kB / 21.3kB
0.00% 23.8kB / 21.3kB
0.00% 23.8kB / 21.3kB
0.00% 23.8kB / 21.3kB
0.00% 24kB / 21.5kB
0.00% 24.1kB / 21.6kB
0.00% 24.2kB / 21.7kB
0.00% 24.2kB / 21.7kB
0.00% 24.2kB / 21.7kB
0.00% 24.3kB / 21.7kB
0.00% 24.4kB / 21.9kB
0.00% 24.6kB / 22kB
0.00% 24.6kB / 22kB
0.00% 24.6kB / 22kB
0.00% 24.6kB / 22kB
0.00% 24.6kB / 22.1kB
0.00% 24.8kB / 22.3kB
0.00% 25kB / 22.4kB
0.00% 25.1kB / 22.4kB
0.00% 25.1kB / 22.4kB
0.00% 25.1kB / 22.4kB
0.00% 25.2kB / 22.5kB
0.00% 25.4kB / 22.7kB
0.00% 25.5kB / 22.8kB
0.00% 25.5kB / 22.8kB
0.00% 25.5kB / 22.8kB
0.00% 25.5kB / 22.8kB
0.00% 25.6kB / 22.9kB
